name,tag,url,remarks,human_comments
video(1).mp4,대사,https://www.youtube.com/watch?v=9fgK39wjTM8&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=1,말투만 격양되어있고 문제되는 대사는 크게 없음.,추후 작성 ?
video(2).mp4,대사,https://www.youtube.com/watch?v=nge8E9hhyek&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=2,,
video(3).mp4,공포,https://www.youtube.com/watch?v=ai8Xib84qqA&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=3,문제도 낮음,
video(4).mp4,공포,https://www.youtube.com/watch?v=pxNvqepEYOY&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=4,공포게임(깜놀장면) 장면 자체는 시각적으로 평이한 편.,
video(5).mp4,공포,https://www.youtube.com/watch?v=eJr1f38DhKk&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=5,심리 스릴러 영화 예고편,
video(6).mp4,공포,https://www.youtube.com/watch?v=l9qh3ksbCaQ&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=6,에일리언.,
video(7).mp4,폭력성,https://www.youtube.com/watch?v=Vvn6J2TUpU8&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=7,납치 cctv,
video(8).mp4,폭력성,https://www.youtube.com/watch?v=0vZUUinT8l0&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=8,라오어2 게임 장면. ,
video(9).mp4,폭력성,https://www.youtube.com/watch?v=7HAxSjcsbLU&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=9,drowning scene,
video(10).mp4,선정성,https://www.youtube.com/watch?v=4M00TOLr_-A&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=10,영화 장면인듯 함.,
video(11).mp4,대사,https://www.youtube.com/watch?v=-nrYAVfP1UE&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=11,반복된 욕설,
video(12).mp4,대사,https://www.youtube.com/watch?v=m3qwUvok1wI&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=12,"짧은 욕설, snl",
video(13).mp4,공포,https://www.youtube.com/watch?v=kjRHiFV-AdI&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=13,아오오니.,
video(14).mp4,폭력성,https://www.youtube.com/watch?v=Fmk8PnHwugE&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=14,"자살시도, 유쾌하게 그려짐",
